split,model,sku,mae,wape,bias,n
holdout,seasonal_naive,SKU-013,9.285714285714286,0.15204678362573099,-7.214285714285714,28
holdout,seasonal_naive,SKU-014,10.25,0.1719592570401438,-6.321428571428571,28
holdout,seasonal_naive,SKU-015,6.035714285714286,0.20484848484848484,-0.6071428571428571,28
holdout,seasonal_naive,SKU-016,8.035714285714286,0.1031636863823934,-4.178571428571429,28
holdout,seasonal_naive,SKU-017,8.571428571428571,0.1951219512195122,-4.357142857142857,28
holdout,seasonal_naive,SKU-018,9.107142857142858,0.11399195350916407,2.9642857142857144,28
holdout,seasonal_naive,SKU-019,14.142857142857142,0.1824884792626728,4.5,28
holdout,seasonal_naive,SKU-020,11.857142857142858,0.17345872518286312,5.785714285714286,28
validation,ml,SKU-001,12.84457643614787,0.1792415351169401,-11.060812087256496,56
validation,ml,SKU-002,5.910242063893705,0.21121477701215538,-4.774523154108443,56
validation,ml,SKU-003,5.97672322155605,0.2464628132600433,-4.586782540193324,56
validation,ml,SKU-004,5.493079373845863,0.16565021267386557,-3.2857210223338007,56
validation,ml,SKU-005,10.07525171339437,0.14108879618656783,-8.577419405015037,56
validation,ml,SKU-006,11.189550212150708,0.17401133348526512,-9.510265560294268,56
validation,ml,SKU-007,10.267955570159463,0.1593254397143059,-7.6366200862030595,56
validation,ml,SKU-008,10.924381214374652,0.15068112019827107,-8.982705696801743,56
validation,ml,SKU-009,8.491435159906034,0.13078117958051097,-5.381419275352343,56
validation,ml,SKU-010,5.850474817434902,0.13783196877423412,-2.5203163483360562,56
validation,ml,SKU-011,3.4652976377988907,0.23839885468886718,0.8272305875230714,56
validation,ml,SKU-012,8.288062459310291,0.1316311678166127,-3.3658536852539527,56
validation,ml,SKU-013,7.265222727623972,0.14468437864400513,1.2188456651602044,56
validation,ml,SKU-014,6.26900513603165,0.12892555549679485,0.5731355474451423,56
validation,ml,SKU-015,4.937171354900535,0.20741305016836456,-0.08019029498298837,56
validation,ml,SKU-016,9.221372503280312,0.14792233176273203,-4.972131471403007,56
validation,ml,SKU-017,6.458576513351768,0.18120254746878708,-2.626625541787959,56
validation,ml,SKU-018,13.256147359689416,0.1861444965252275,-11.11372229382869,56
validation,ml,SKU-019,13.80355868967959,0.18595123565601565,-11.064974397803752,56
validation,ml,SKU-020,13.064764600151634,0.1788818624959637,-11.668923732598103,56
validation,seasonal_naive,SKU-001,12.803571428571429,0.1786693246947421,-9.660714285714286,56
validation,seasonal_naive,SKU-002,6.232142857142857,0.2227185705169113,-4.910714285714286,56
validation,seasonal_naive,SKU-003,6.892857142857143,0.28424153166421207,-2.3214285714285716,56
validation,seasonal_naive,SKU-004,6.375,0.19224555735056542,-1.375,56
validation,seasonal_naive,SKU-005,10.017857142857142,0.14028507126781695,-2.6964285714285716,56
validation,seasonal_naive,SKU-006,11.303571428571429,0.1757845043043599,-4.232142857142857,56
validation,seasonal_naive,SKU-007,14.375,0.2230534774175672,1.9821428571428572,56
validation,seasonal_naive,SKU-008,15.892857142857142,0.21921182266009853,0.7857142857142857,56
validation,seasonal_naive,SKU-009,10.964285714285714,0.16886688668866887,1.1428571428571428,56
validation,seasonal_naive,SKU-010,6.196428571428571,0.1459823306689104,0.5535714285714286,56
validation,seasonal_naive,SKU-011,4.535714285714286,0.31203931203931207,1.75,56
validation,seasonal_naive,SKU-012,11.714285714285714,0.18604651162790697,3.392857142857143,56
validation,seasonal_naive,SKU-013,8.75,0.17425320056899005,3.642857142857143,56
validation,seasonal_naive,SKU-014,6.732142857142857,0.1384502387073081,2.4464285714285716,56
validation,seasonal_naive,SKU-015,6.553571428571429,0.2753188297074269,0.8392857142857143,56
validation,seasonal_naive,SKU-016,10.482142857142858,0.1681466628473217,-3.482142857142857,56
validation,seasonal_naive,SKU-017,7.535714285714286,0.21142284569138275,-2.5714285714285716,56
validation,seasonal_naive,SKU-018,12.214285714285714,0.1715145436308927,-7.642857142857143,56
validation,seasonal_naive,SKU-019,12.125,0.16333894635554486,-8.303571428571429,56
validation,seasonal_naive,SKU-020,10.107142857142858,0.13838630806845967,-2.0357142857142856,56
